title,type,question,A,B,C,D,answer,image
"Heartbeat, ‘Double’ Blood Circulatory System and Pulse Rate",radio,"Heart → Pulmonary artery → Lungs → Pulmonary vein
Jantung → Arteri pulmonari → Peparu → Vena pulmonari",Pulmonary Circulatory System / Sistem Peredaran Pulmonari,Systemic Circulatory System / Sistem Peredaran Sistemik,,,A,
,radio,"Heart → Artery → All parts of the body except the lungs → Vein
Jantung → Arteri →  Seluruh badan kecuali peparu → Vena",Pulmonary Circulatory System / Sistem Peredaran Pulmonari,Systemic Circulatory System / Sistem Peredaran Sistemik,,,B,
,radio,Systole / Sistol 是当血,离开心脏,流入心脏,,,A,
,radio,Diastole / Diastol 是当血,离开心脏,流入心脏,,,B,
,radio,lub 在什么时候的声音？,Systole / Sistol,Diastole / Diastol,,,A,
,radio,dub 在什么时候的声音？,Systole / Sistol,Diastole / Diastol,,,B,
,radio,男生的脉搏率会比女生,高,低,,,B,
,radio,运动员的脉搏率会比普通人的,高,低,,,B,
,radio,小孩的脉搏率会比大人,高,低,,,A,
,radio,活动越激烈，脉搏率越,高,低,,,A,
