title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,answer,image
Heart,radio,A,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,B,heart3d.jpg
,radio,B,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,K,heart3d.jpg
,radio,C,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,F,heart3d.jpg
,radio,D,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,J,heart3d.jpg
,radio,E,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,B,heart3d.jpg
,radio,F,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,H,heart3d.jpg
,radio,G,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,L,heart3d.jpg
,radio,H,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,G,heart3d.jpg
,radio,I,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,K,heart3d.jpg
,radio,J,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,I,heart3d.jpg
,radio,K,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,E,heart3d.jpg
,radio,L,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,D,heart3d.jpg
,radio,M,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,C,heart3d.jpg
,radio,N,aorta,vena cava / vena kava,pulmonary artery / arteri pulmonari,pulmonary vein / vena pulmonari,left atrium / atrium kiri,right atrium / atrium kanan,left ventricle / ventrikel kiri,right ventricle / ventrikel kanan,bicuspid valve / injap bikuspid,tricuspid valve / injap trikuspid,semilunar valve / injap sabit,septum,A,heart3d.jpg
