title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Ionising Radiation and Non-ionising Radiation,checkbox,哪些是 Ionising Radiation / Sinaran Mengion ?,Radio,Microwave / Gelombong mikro,Infrared / Inframerah,Visible light / Cahaya nampak,Ultraviolet / Ultraungu,X-ray / Sinar-X,Gamma Ray / Sinar gama,Alpha / Alfa,Beta,Cosmic rays / Sinaran kosmik,"F,G,H,I,J",
,checkbox,哪些是 Non-Ionising Radiation / Sinaran Tiiidka Mengion ?,Radio,Microwave / Gelombong mikro,Infrared / Inframerah,Visible light / Cahaya nampak,Ultraviolet / Ultraungu,X-ray / Sinar-X,Gamma Ray / Sinar gama,Alpha / Alfa,Beta,Cosmic rays / Sinaran kosmik,"A,B,C,D,E",
,radio,哪个的 natural characteristic / Sifat semula jadi 是 Helium nucleus / Nukleus helium ?,"Alpha radiation, α / Sinar alfa, α","Beta radiation, β / Sinar beta, β","Gamma ray, γ / Sinar gama, γ",,,,,,,,A,
,radio,哪个的 natural characteristic / Sifat semula jadi 是 High speed electron / Elektron yang berhalaju tinggi ?,"Alpha radiation, α / Sinar alfa, α","Beta radiation, β / Sinar beta, β","Gamma ray, γ / Sinar gama, γ",,,,,,,,B,
,radio,哪个的 natural characteristic / Sifat semula jadi 是 Electromagnetic wave / Gelombang elektromagnet?,"Alpha radiation, α / Sinar alfa, α","Beta radiation, β / Sinar beta, β","Gamma ray, γ / Sinar gama, γ",,,,,,,,C,
,radio,哪个是 positive charge / cas positif ?,"Alpha radiation, α / Sinar alfa, α","Beta radiation, β / Sinar beta, β","Gamma ray, γ / Sinar gama, γ",,,,,,,,A,
,radio,哪个是 negative charge / cas negatif ?,"Alpha radiation, α / Sinar alfa, α","Beta radiation, β / Sinar beta, β","Gamma ray, γ / Sinar gama, γ",,,,,,,,B,
,radio,哪个是 neutral charge / cas neutral ?,"Alpha radiation, α / Sinar alfa, α","Beta radiation, β / Sinar beta, β","Gamma ray, γ / Sinar gama, γ",,,,,,,,C,
,radio,谁的 Penetration power / Kuasa penembusan 最弱？,"Alpha radiation, α / Sinar alfa, α","Beta radiation, β / Sinar beta, β","Gamma ray, γ / Sinar gama, γ",,,,,,,,A,
,radio,谁的 Penetration power / Kuasa penembusan 最强？,"Alpha radiation, α / Sinar alfa, α","Beta radiation, β / Sinar beta, β","Gamma ray, γ / Sinar gama, γ",,,,,,,,C,
,radio,谁会 deflect to negative plate / pesong ke plat negatif ?,"Alpha radiation, α / Sinar alfa, α","Beta radiation, β / Sinar beta, β","Gamma ray, γ / Sinar gama, γ",,,,,,,,A,
,radio,谁会 deflect to positive plate / pesong ke plat positif ?,"Alpha radiation, α / Sinar alfa, α","Beta radiation, β / Sinar beta, β","Gamma ray, γ / Sinar gama, γ",,,,,,,,B,
,radio,哪个最轻？,"Alpha radiation, α / Sinar alfa, α","Beta radiation, β / Sinar beta, β","Gamma ray, γ / Sinar gama, γ",,,,,,,,B,
,checkbox,哪些是 Natural sources of ionising radiation / Sumber sinaran mengion semula jadi ?,Cosmic rays / Sinaran kosmik,Background radiation / Sinaran latar belakang,Nuclear accidents / Kemalangan nuklear,Nuclear tests / Ujian nuklear,Use of radioisotope for medical purposes / Penggunaan radioisotop untuk perubatan,,,,,,"A,B",
,checkbox,哪些是 Man-made sources of ionising radiation / Sumber sinaran mengion buatan manusia ?,Cosmic rays / Sinaran kosmik,Background radiation / Sinaran latar belakang,Nuclear accidents / Kemalangan nuklear,Nuclear tests / Ujian nuklear,Use of radioisotope for medical purposes / Penggunaan radioisotop untuk perubatan,,,,,,"C,D,E",
,radio,The unit of background radiation dose is / Unit pengukuran dos sinaran latar belakang,microSievert/hour (μSv/h) / mikrosievert/jam (μSv/j),microTesla (μT) / mikroTesla (μT),microAmpere (μA) / mikroAmpere (μA),milliSievert (mSv/h) / milliSievert sejam (mSv/j),,,,,,,A,
,radio,哪个是背景辐射的安全范围？,< 0.2 μSv/h,< 0.3 μSv/h,< 0.1 μSv/h,< 2 μSv/h,,,,,,,A,
